ranking_category_id,ranking_category,dcat_name,discipline_kind,ranking_name,ranking_id,ranking_from,ranking_to,event_id,event_name,location,event_discipline_id,event_discipline_kind,starts_at,ends_at,depreciation_factor,field_factor
7,BOULDER Women,BOULDER Women,boulder,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1524,World Climbing Series Keqiao 2026,"Keqiao, China",1871,boulder,2026-04-30,2026-05-03,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1408,IFSC World Cup Curitiba 2025,"Curitiba, BRA",1720,boulder,2025-05-16,2025-05-19,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1409,IFSC World Cup Salt Lake City 2025,"Salt Lake City, USA",1721,boulder,2025-05-23,2025-05-26,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1410,IFSC World Cup Prague 2025,"Prague, CZE",1722,boulder,2025-06-05,2025-06-08,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1411,IFSC World Cup Bern 2025,"Bern, SUI",1723,boulder,2025-06-12,2025-06-15,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1412,IFSC World Cup Innsbruck 2025,"Innsbruck, AUT",1724,boulder,2025-06-24,2025-06-29,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1412,IFSC World Cup Innsbruck 2025,"Innsbruck, AUT",1725,lead,2025-06-24,2025-06-29,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1414,IFSC World Cup Chamonix 2025,"Chamonix, FRA",1727,lead,2025-07-10,2025-07-13,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1416,IFSC World Cup Koper 2025,"Koper, SLO",1730,lead,2025-09-04,2025-09-06,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1417,IFSC World Championships Seoul 2025,"Seoul, KOR",1731,lead,2025-09-20,2025-09-28,1,2.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1417,IFSC World Championships Seoul 2025,"Seoul, KOR",1733,boulder,2025-09-20,2025-09-28,1,2.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1427,IFSC European Cup Campitello di Fassa 2025,"Campitello di Fassa, ITA",1743,lead,2025-06-20,2025-06-22,1,0.15
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1428,IFSC European Cup Ostermundigen 2025,"Ostermundigen, SUI",1744,lead,2025-07-03,2025-07-05,1,0.15
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1449,IFSC European Cup Toulouse-Tournefeuille 2025,"Toulouse, FRA",1766,lead,2025-10-30,2025-11-01,1,0.15
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1454,IFSC World Cup Comunidad de Madrid 2025,"Madrid, ESP",1771,lead,2025-07-17,2025-07-19,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1465,IFSC Pan American Cup Armenia 2025,"Armenia, COL",1785,lead,2025-11-22,2025-11-28,1,0.125
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1465,IFSC Pan American Cup Armenia 2025,"Armenia, COL",1787,boulder,2025-11-22,2025-11-28,1,0.125
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1469,IFSC Asian Cup Almaty 2025,"Almaty, KAZ",1794,lead,2025-08-28,2025-08-31,1,0.1375
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1495,World Climbing Europe Series Kaunas 2026,"Kaunas, Lithuania",1832,boulder,2026-04-24,2026-04-26,1,0.15
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1515,World Climbing Asia Championship Meishan 2026,"Meishan, China",1855,lead,2026-04-07,2026-04-12,1,0.275
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1515,World Climbing Asia Championship Meishan 2026,"Meishan, China",1857,boulder,2026-04-07,2026-04-12,1,0.275
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1523,World Climbing Oceania Series New South Wales 2026,"Gladesville, Australia",1870,boulder,2026-02-27,2026-03-01,1,0.1125
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1524,World Climbing Series Keqiao 2026,"Keqiao, China",1871,boulder,2026-04-30,2026-05-03,1,1.0
618,BOULDER&LEAD Women,BOULDER&LEAD Women,boulder&lead,CUWR v4,5,2025-05-14T00:00:00.000Z,2026-05-13T00:00:00.000Z,1525,World Climbing Series Wujiang 2026,"Wujiang, China",1872,lead,2026-05-07,2026-05-10,1,1.0
